codigo,etiqueta
125,"Batolito de la Costa - Pacaybamba - tonalita, diorita"
126,Batolito de la Costa - Plutón Centinela - granito
127,Batolito de la Costa - Plutón Centinela - granodiorita
128,Batolito de la Costa - Plutón Centinela - tonalita
129,Batolito de la Costa - Plutón Centinela- pórfido monzogranito
130,Batolito de la Costa - Super Unidad Atocongo - monzogranito
131,Batolito de la Costa - Super Unidad Cañas - monzogranito
132,"Batolito de la Costa - Super Unidad Catahuasi - granodiorita, tonalita"
133,Batolito de la Costa - Super Unidad Catahuasi - monzogranito
134,Batolito de la Costa - Super Unidad Catahuasi - sienogranito
135,Batolito de la Costa - Super Unidad Cochahuasi - diorita
136,Batolito de la Costa - Super Unidad Cochahuasi - monzodiorita
137,"Batolito de la Costa - Super Unidad Cochahuasi - tonalita, granodiorita"
138,Batolito de la Costa - Super Unidad Humaya - granodiorita
139,Batolito de la Costa - Super Unidad Humaya - monzogranito
140,"Batolito de la Costa - Super Unidad Humaya - tonalita, granodiorita"
141,Batolito de la Costa - Super Unidad Ilo - diorita
142,Batolito de la Costa - Super Unidad Ilo - granito
143,Batolito de la Costa - Super Unidad Ilo - granodiorita
144,"Batolito de la Costa - Super Unidad Ilo - granodiorita, diorita"
145,Batolito de la Costa - Super Unidad Ilo - monzogranito
146,Batolito de la Costa - Super Unidad Incahuasi - diorita
147,Batolito de la Costa - Super Unidad Incahuasi - granito
148,Batolito de la Costa - Super Unidad Incahuasi - granodiorita
149,Batolito de la Costa - Super Unidad Incahuasi - microdiorita
150,Batolito de la Costa - Super Unidad Incahuasi - microgranito
151,Batolito de la Costa - Super Unidad Incahuasi - monzogranito
152,Batolito de la Costa - Super Unidad Incahuasi - monzonita
153,Batolito de la Costa - Super Unidad Incahuasi - tonalita
154,"Batolito de la Costa - Super Unidad Incahuasi - tonalita, granodiorita"
155,"Batolito de la Costa - Super Unidad Incahuasi - tonalita,diorita"
156,Batolito de la Costa - Super Unidad Jecuán - diorita
157,Batolito de la Costa - Super Unidad Jecuán - granito
158,Batolito de la Costa - Super Unidad Jecuán - granodiorita
159,Batolito de la Costa - Super Unidad Jecuán - monzodiorita
160,Batolito de la Costa - Super Unidad Jecuán - tonalita
161,"Batolito de la Costa - Super Unidad Jecuán - tonalita, granodiorita"
162,Batolito de la Costa - Super Unidad La Mina - tonalita
163,Batolito de la Costa - Super Unidad Linga - diorita
164,"Batolito de la Costa - Super Unidad Linga - gabro, monzogabro"
165,Batolito de la Costa - Super Unidad Linga - granodiorita
166,Batolito de la Costa - Super Unidad Linga - monzodiorita
167,"Batolito de la Costa - Super Unidad Linga - monzodiorita, monzonita"
168,"Batolito de la Costa - Super Unidad Linga - monzogabro, diorita"
169,Batolito de la Costa - Super Unidad Linga - monzogranito
170,Batolito de la Costa - Super Unidad Linga - monzonita
171,Batolito de la Costa - Super Unidad Linga - sienita
172,Batolito de la Costa - Super Unidad Linga - sienogranito
173,"Batolito de la Costa - Super Unidad Linga - tonalita, diorita cuarzosa"
174,Batolito de la Costa - Super Unidad Lucumayo - sienogranito
175,Batolito de la Costa - Super Unidad Paccho - Diorita
176,"Batolito de la Costa - Super Unidad Paccho - diorita, tonalita"
177,Batolito de la Costa - Super Unidad Pampahuasi - diorita
178,Batolito de la Costa - Super Unidad Pampahuasi - granodiorita
179,Batolito de la Costa - Super Unidad Pampahuasi - microdiorita
180,Batolito de la Costa - Super Unidad Pampahuasi - monzodiorita
181,Batolito de la Costa - Super Unidad Pampahuasi - tonalita
182,"Batolito de la Costa - Super Unidad Paraíso - tonalita, diorita"
183,Batolito de la Costa - Super Unidad Patap - complejo dique cizallado
184,Batolito de la Costa - Super Unidad Patap - diorita
185,Batolito de la Costa - Super Unidad Patap - gabro
186,Batolito de la Costa - Super Unidad Patap - gabrodiorita
187,Batolito de la Costa - Super Unidad Patap - microdiorita diabasa
188,Batolito de la Costa - Super Unidad Pativilca - monzogranito
189,Batolito de la Costa - Super Unidad Pativilca - Plutón Pariacoto - monzogranito
190,Batolito de la Costa - Super Unidad Punta Coles - diorita
191,Batolito de la Costa - Super Unidad Punta Coles - granodiorita
192,"Batolito de la Costa - Super Unidad Punta Coles - granodiorita, granito"
193,Batolito de la Costa - Super Unidad Punta Coles - monzodiorita cuarzosa
194,Batolito de la Costa - Super Unidad Punta Coles - monzonita
195,Batolito de la Costa - Super Unidad Punta Coles - monzotonalita
196,Batolito de la Costa - Super Unidad Puscao - aplita
197,Batolito de la Costa - Super Unidad Puscao - granodiorita
198,"Batolito de la Costa - Super Unidad Puscao - granodiorita, monzogranito"
199,Batolito de la Costa - Super Unidad Puscao - monzogranito
200,Batolito de la Costa - Super Unidad Puscao - Tumaray - monzogranito
201,Batolito de la Costa - Super Unidad San Jerónimo - aplita
202,Batolito de la Costa - Super Unidad San Jerónimo - granito
203,Batolito de la Costa - Super Unidad San Jerónimo - monzogranito
204,Batolito de la Costa - Super Unidad San Jerónimo - sienogranito
205,Batolito de la Costa - Super Unidad Santa Rosa -  Unidad Cuyhuay Chico - cuarzo
206,Batolito de la Costa - Super Unidad Santa Rosa - Cauthuy Grande - tonalita
207,Batolito de la Costa - Super Unidad Santa Rosa - Cerro Muerto - granodiorita
208,Batolito de la Costa - Super Unidad Santa Rosa - Cerro Muerto - tonalita
209,Batolito de la Costa - Super Unidad Santa Rosa - Cuyhuay Chico - dacita
210,Batolito de la Costa - Super Unidad Santa Rosa - diorita
211,Batolito de la Costa - Super Unidad Santa Rosa - granito
212,Batolito de la Costa - Super Unidad Santa Rosa - monzogranito
213,Batolito de la Costa - Super Unidad Santa Rosa - Nepeña - monzogranito
214,Batolito de la Costa - Super Unidad Santa Rosa - Puca Punta - milonita
215,Batolito de la Costa - Super Unidad Santa Rosa - Purmacana - diorita
216,Batolito de la Costa - Super Unidad Santa Rosa - Purmacana - tonalita
217,"Batolito de la Costa - Super Unidad Santa Rosa - tonalita, diorita"
218,"Batolito de la Costa - Super Unidad Santa Rosa - tonalita, granodiorita"
219,Batolito de la Costa - Super Unidad Santa Rosa - Unidad Corralillo - granito
220,"Batolito de la Costa - Super Unidad Santa Rosa - Unidad Corralillo - tonalita, granodiorita"
221,Batolito de la Costa - Super Unidad Santa Rosa - Unidad Huampiu Piruroc - granodiorita
222,Batolito de la Costa - Super Unidad Santa Rosa - Unidad Huaricanga - diorita
223,Batolito de la Costa - Super Unidad Santa Rosa - Unidad Huaricanga - tonalita
224,Batolito de la Costa - Super Unidad Santa Rosa - Unidad Pedregal - aplita
225,Batolito de la Costa - Super Unidad Sayán - monzogranito
226,Batolito de la Costa - Super Unidad Tiabaya - cuarzodiorita
227,Batolito de la Costa - Super Unidad Tiabaya - diorita
228,Batolito de la Costa - Super Unidad Tiabaya - granito
229,"Batolito de la Costa - Super Unidad Tiabaya - granito, granodiorita"
230,Batolito de la Costa - Super Unidad Tiabaya - granodiorita
231,"Batolito de la Costa - Super Unidad Tiabaya - granodiorita, tonalita"
232,Batolito de la Costa - Super Unidad Tiabaya - monzodioritas
233,Batolito de la Costa - Super Unidad Tiabaya - monzogranito
234,Batolito de la Costa - Super Unidad Tiabaya - sienogranito
235,Batolito de la Costa - Super Unidad Tiabaya - tonalita
236,"Batolito de la Costa - Super Unidad Tiabaya - tonalita, diorita"
237,Batolito de la Costa - Super Unidada Patap - anfibolitas
238,"Batolito de la Costa - Superunidad Tiabaya - granito, tonalita"
239,Batolito de la Costa - Unidad Calavera - monzogranito
240,Batolito de la Costa - Unidad Cayán - tonalita
241,Batolito de la Costa - Unidad Lucumayo - granito
242,Batolito de la Costa - Unidad Rancap - granodiorita
243,"Batolito de la Costa - Unidad Tupe - granodiorita, tonalita"
244,Batolito de la Costa - Unidad Yarabamba - diorita
245,Batolito de la Costa - Unidad Yarabamba - gabro
246,Batolito de la Costa - Unidad Yarabamba - granito
247,Batolito de la Costa - Unidad Yarabamba - granodiorita
248,"Batolito de la Costa - Unidad Yarabamba - granodiorita, monzodiorita"
249,"Batolito de la Costa - Unidad Yarabamba - granodiorita, tonalita"
250,Batolito de la Costa - Unidad Yarabamba - monzodiorita cuarcífera
251,Batolito de la Costa - Unidad Yarabamba - monzonita
252,Batolito de la Costa-Super Unidad Tiabaya-Monzogranito
253,Batolito de San Nicolás
254,Batolito de San Nicolás - diorita
255,"Batolito de San Nicolás - diorita, tonalita"
256,Batolito de San Nicolás - granito
257,Batolito de San Nicolás - granodiorita
258,"Batolito de San Nicolás - granodiorita, tonalita"
259,Batolito de San Nicolás - sienogranito
260,Batolito San Nicolás - monzogranito
261,"Batolito Villa Azul - Cobriza - granito, granodiorita"
262,Batolito Villa Azul - Palta Orjo Chico - granito
263,Batolito Villa Azul - San Miguel - granito
264,Batolito Villa Azul - tonalita
265,"Brecha , Cuarzo, Turmalina"
266,Brecha subvolcánica
267,Cadenas - granito gneisificado
268,Cajani - granodiorita
269,Cala Cala - sienogranito
270,Cala Cala - tonalita porfídica
271,Calayoc - granito
272,Canchayocochas - dacita afanítica
273,"Canchayocochas - microtonalita, diorita"
274,Canchayocochas - pórfido dacítico
275,Canoso - tonalita
276,Carachupa - pórfido riodacítico
277,Caranpa - dacita
278,Carhuaso Punco - granito
279,Carrizal - cuarzomonzogranito
280,Casquete glaciar
281,Cataupicho - diorita
282,Catchane - dacita
283,Cayash - diorita
284,"Cayash - tonalita, granodiorita"
285,Ccallocahua - shoshonita
286,Ccasccabamba - diorita
287,Ccello Coota - monzonita
288,Centro  Volcánico Sengata - Evento 1
289,Centro  Volcánico Sengata - Evento 2
290,Centro poblado
291,Centro Volcánico  Chinchecca - Evento 1
292,Centro Volcánico  Chinchecca - Evento 2
293,Centro Volcánico  Chinchecca - Evento 3
294,Centro Volcánico  Chinchecca - Evento 4
295,Centro Volcánico Accocoto - Evento 1
296,Centro Volcánico Accocoto - Evento 2
297,Centro Volcánico Aconcahua - Evento 1
298,Centro Volcánico Aconcahua - Evento 2
299,Centro Volcánico Aconcahua - Evento 3
300,Centro Volcánico Aconcahua - Evento 4
301,Centro Volcánico Acos - Evento 1a
302,Centro Volcánico Acos - Evento 1b
303,Centro Volcánico Acos - Evento 1c
304,Centro Volcánico Acos - Evento 1d
305,Centro Volcánico Acos - Evento 1e
306,Centro Volcánico Acos - Evento 2a
307,Centro Volcánico Acos - Evento 2b
308,Centro Volcánico Acos - Evento 2c
309,Centro Volcánico Acos - Evento 3
310,Centro Volcánico Ajana - Evento 1
311,Centro Volcánico Ajana - Evento 2
312,Centro Volcánico Ajana - Evento 3
313,Centro Volcánico Ajana - Evento 4
314,Centro Volcánico Ajana - Evento 5
315,Centro Volcánico Ajo Sunto
316,Centro Volcánico Ajo Sunto - Evento 1
317,Centro Volcánico Ajo Sunto - Evento 2
318,Centro Volcánico Ajo Sunto - Evento 3
319,Centro Volcánico Ajo Sunto - Evento 4
320,Centro Volcánico Ajo Sunto - Evento 5
321,Centro Volcánico Ajo Sunto - Evento 6
322,Centro Volcánico Ajopichaca - Evento 1
323,Centro Volcánico Ajopichaca - Evento 2
324,Centro Volcánico Ajopichaca - Evento 3
325,Centro Volcánico Alto Dorado - Evento 1
326,Centro Volcánico Alto Dorado - Evento 2
327,Centro Volcánico Alto Guitarras
328,Centro volcànico Ana Sumi - Evento 1
329,Centro Volcánico Ana Sumi - Evento 2
330,Centro Volcánico Ana Sumi - Evento 3
331,Centro Volcánico Ana Sumi - Evento 4
332,Centro Volcánico Ancaccahua
333,Centro Volcánico Ancaray Jahuana - Evento 1
334,Centro Volcánico Ancaray Jahuana - Evento 2
335,Centro Volcánico Ancaray-Jatun Jenhua - Evento 2
336,Centro Volcánico Ancaray-Jatun Jenhua - Evento 3
337,Centro Volcánico Ancaray-Jatun Jenhua - Evento 4
338,Centro Volcánico Ancase - Evento 1
339,Centro Volcánico Ancase - Evento 2
340,Centro Volcánico Ancase - Evento 3
341,Centro Volcánico Ancase - Evento 4
342,Centro Volcánico Ancase - Evento 5
343,Centro Volcánico Anchipan - Mutis - Evento 1
344,Centro Volcánico Anchipan - Mutis - Evento 2
345,Centro Volcánico Anchipan - Mutis - Evento 3
346,Centro Volcánico Anchipan - Mutis - Evento 4
347,Centro Volcánico Anchipan - Mutis - Evento 5
348,Centro Volcánico Anchipan - Mutis - Evento 6
349,Centro Volcánico Anchipan - Mutis - Evento 7
350,Centro Volcánico Anchipan - Mutis - Evento 8
351,Centro Volcánico Andamarca - Evento 1
352,Centro Volcánico Andamarca - Evento 2
353,Centro Volcánico Antacillo - Evento 1
354,Centro Volcánico Antacillo - Evento 2
355,Centro Volcánico Antacillo - Evento 3
356,Centro Volcánico Antacillo - Evento 4
357,Centro Volcánico Antajave
358,Centro Volcánico Antajave - Evento 1
359,Centro Volcánico Antaorjo - Evento 1
360,Centro Volcánico Antaorjo - Evento 2
361,Centro Volcánico Antaorjo - Evento 3
362,Centro Volcánico Antarazo - Evento 1
363,Centro Volcánico Antarazo - Evento 2
364,Centro volcánico Antarazo - lava andesítica
365,Centro Volcánico Antasello
366,Centro Volcánico Antasello - Evento 1
367,Centro Volcánico Antasello - Evento 2
368,Centro Volcánico Antasello - Evento 3
369,Centro Volcánico Apaiñuño - Evento 1
370,Centro Volcánico Apaiñuño - Evento 2
371,Centro Volcánico Apaiñuño - Evento 3
372,Centro Volcánico Apalcocha - Evento 1
373,Centro Volcánico Apalcocha - Evento 2
374,Centro Volcánico Apumayo - Evento 1
375,Centro Volcánico Apumayo - Evento 2
376,Centro Volcánico Apumayo - Evento 3
377,Centro Volcánico Arichua - Evento 1
378,Centro Volcánico Arichua - Evento 2
379,Centro Volcánico Arichua - Evento 3
380,Centro Volcánico Asnuni - Evento 1
381,Centro Volcánico Atarani - Evento 1
382,Centro Volcánico Atarani - Evento 2
383,Centro Volcánico Atazaico - Evento 1
384,Centro Volcánico Atazaico - Evento 2
385,Centro Volcánico Atazaico - Evento 3
386,Centro Volcánico Ayachi - Evento 1
387,Centro Volcánico Ayachi - Evento 3
388,Centro Volcánico Ayachi - Evento 4
389,Centro Volcánico Ayachi - Evento 5
390,Centro Volcánico Ayuncora - Evento 1
391,Centro Volcánico Azuca - Evento 1
392,Centro Volcánico Azuca - Evento 2
393,Centro Volcánico Azuca - Evento 3
394,Centro Volcánico Azuca - Evento 4
395,Centro Volcánico Azuca - Evento 5
396,Centro Volcánico Azuca - Evento 6
397,Centro Volcánico Azul Pillune - Evento 1
398,Centro Volcánico Azul Pillune - Evento 2
399,Centro Volcánico Balconyane - Evento 1
400,Centro Volcánico Balconyane - Evento 2
401,Centro Volcánico Bellavista - Evento 1
402,"Centro Volcánico Bencasi, Pichu"
403,Centro Volcánico Buarahuarani - Evento 1
404,Centro Volcánico Buarahuarani - Evento 2
405,Centro Volcánico Cacachara - Evento 1
406,Centro Volcánico Cacachara - Evento 2
407,Centro Volcánico Cacachara - Evento 3
408,Centro Volcánico Cacachara - Evento 4
409,Centro Volcánico Cacachara - Evento 5
410,Centro Volcánico Cacachara - Evento 6
411,Centro Volcánico Cacachara - Evento 7
412,Centro Volcánico Cahua - Evento 1a
413,Centro Volcánico Cahua - Evento 1b
414,Centro Volcánico Cahua - Evento 1c
415,Centro Volcánico Cahua - Evento 1d
416,Centro Volcánico Cahua - Evento 2
417,Centro Volcánico Cailloma - Evento 1
418,Centro Volcánico Cailloma - Evento 2
419,Centro Volcánico Cailloma - Evento 3
420,Centro Volcánico Cajonpuquio - Evento 1
421,Centro Volcánico Calamarca - Evento 1
422,Centro Volcánico Calamarca - Evento 2
423,Centro Volcánico Calamarca - Evento 3
424,Centro Volcánico Calqui
425,Centro Volcánico Calqui - Evento 2
426,Centro Volcánico Camaquishque Hercules - Evento 1a
427,Centro Volcánico Camaquishque Hercules - Evento 1b
428,Centro Volcánico Camaquishque Hercules - Evento 1c
429,Centro Volcánico Camaquishque Hercules - Evento 2a
430,Centro Volcánico Camaquishque Hercules - Evento 2b
431,Centro Volcánico Camaquishque Hercules - Evento 2c
432,Centro Volcánico Camaquishque Hercules - Evento 2d
433,Centro Volcánico Camaquishque Hercules - Evento 2e
434,Centro Volcánico Camaquishque Hercules - Evento 2f
435,Centro Volcánico Camaquishque Hercules - Evento 3a
436,Centro Volcánico Camaquishque Hercules - Evento 3b
437,Centro Volcánico Camaquishque Hercules - Evento 3c
438,Centro Volcánico Camaquishque Hercules - Evento 3d
439,Centro Volcánico Camaquishque Hercules - Evento 4a
440,Centro Volcánico Camaquishque Hercules - Evento 4b
441,Centro Volcánico Camaquishque Hercules - Evento 5a
442,Centro Volcánico Camaquishque Hercules - Evento 5b
443,Centro Volcánico Camaquishque Hercules - Evento 6
444,Centro Volcánico Camaquishque Hercules - Evento 7
445,Centro Volcánico Camaquishque Hercules - Evento 8
446,Centro Volcánico Camaquishque Hercules - Evento 9a
447,Centro Volcánico Camaquishque Hercules - Evento 9b
448,Centro Volcánico Cañariaco - Evento 1
449,Centro Volcánico Cañariaco - Evento 2
450,Centro Volcánico Cañariaco - Evento 3a
451,Centro Volcánico Cañariaco - Evento 3b
452,Centro Volcánico Cañariaco - Evento 4
453,Centro Volcánico Cañariaco - Evento 5
454,Centro Volcánico Carabamba - Evento 1
455,Centro Volcánico Carabamba - Evento 2
456,Centro Volcánico Carhuac - Evento 1
457,Centro Volcánico Carhuac - Evento 1c
458,Centro Volcánico Carhuac - Evento 1d
459,Centro Volcánico Carhuac - Evento 2
460,Centro Volcánico Carhuac - Evento 2d
461,Centro Volcánico Carhuac - Evento 2e
462,Centro Volcánico Carhuac - Evento 3
463,Centro Volcánico Carhuac - Evento 4
464,Centro Volcánico Carhuac - Evento 5
465,Centro Volcánico Carhuajasa - Evento 1
466,Centro volcánico Carhuajasa - flujo andesítico
467,Centro Volcánico Carhuanilla  - Evento 1
468,Centro Volcánico Carhuarazo - Evento 1
469,Centro Volcánico Carhuarazo - Evento 2
470,Centro Volcánico Carhuarazo - Evento 3
471,Centro Volcánico Carhuarazo - Evento 4
472,Centro volcánico Cascaule - andesita
473,Centro Volcánico Catalina - Evento 1
474,Centro Volcánico Catalina - Evento 2
475,Centro Volcánico Catán - Evento 2
476,Centro Volcánico Catán - Evento 3
477,Centro Volcánico Catán - Evento 4
478,Centro Volcánico Catán - Evento 5
479,Centro Volcánico Catayle - Evento 1
480,Centro Volcánico Catayle - Evento 2
481,Centro Volcánico Catayle - Evento 3
482,Centro Volcánico Cayco - Evento 1
483,Centro Volcánico Cayco - Evento 2
484,Centro Volcánico Cayco - Evento 3
485,Centro Volcánico Cayco - Evento 4
486,Centro Volcánico Ccorihuiri - Evento 1
487,Centro Volcánico Ccorihuiri - Evento 2
488,Centro Volcánico Ccorihuiri - Evento 3
489,Centro Volcánico Ccorihuiri - Evento 4
490,Centro Volcánico Ccorihuiri - Evento 5
491,Centro Volcánico Centinela - Evento 1a
492,Centro Volcánico Centinela - Evento 2a
493,Centro Volcánico Centinela - Evento 2b
494,Centro Volcánico Centinela - Evento 2c
495,Centro Volcánico Centinela - Evento 2d
496,Centro volcánico Cerro Aceruta - Evento 1
497,Centro volcánico Cerro Aceruta - Evento 2
498,Centro Volcánico Cerro Blanco
499,Centro Volcánico Cerro Blanco - Evento 1
500,Centro Volcánico Chachani - Evento 1
501,Centro Volcánico Chacoma - Evento 1
502,Centro Volcánico Chacoma - Evento 2
503,Centro Volcánico Chacoma - Evento 3
504,Centro Volcánico Chalhuamayo - Evento 1
505,Centro Volcánico Chalhuamayo - Evento 2
506,Centro Volcánico Chalhuamayo - Evento 3
507,Centro Volcánico Chancahuaña - Evento 1
508,Centro Volcánico Chancahuaña - Evento 2
509,Centro Volcánico Chancahuaña - Evento 3
510,Centro Volcánico Chancahuaña - Evento 4
511,Centro Volcánico Chancahuaña - Evento 5
512,Centro Volcánico Chancahuaña - Evento 6
513,Centro Volcánico Chaupi Orco - Evento 1
514,Centro Volcánico Chaupi Orco - Evento 2
515,Centro Volcánico Chaupi Orco - Evento 3
516,Centro Volcánico Chibemi - Evento 1
517,Centro Volcánico Chibemi - Evento 2
518,Centro Volcánico Chibemi - Evento 3
519,Centro Volcánico Chicche - Hueco Grande - Evento 1
520,Centro Volcánico Chicche - Hueco Grande - Evento 2
