indicador,media,sd_entre_rep,min,max
obs_AUC,0.866379262250874,0.00256041479172693,0.862064442902885,0.870081280698359
obs_TSS,0.599007693281304,0.00742666201039928,0.587387779818418,0.607290290948876
obs_PR,0.0536330630417144,0.00402938605649177,0.0472141447531119,0.0594919256758602
neu_AUC,0.815238386482238,0.00296669190988084,0.809534443705278,0.820522345928863
neu_TSS,0.52729374677283,0.00757016537588236,0.515140938920951,0.542116391541627
neu_PR,0.0483590956244713,0.00347841745995849,0.0444883790000111,0.0561713047948038
sin_AUC,0.837668059942197,0.00185843008913835,0.834408758562094,0.841213380628301
sin_TSS,0.553350333241428,0.00526394510801043,0.544054270403335,0.56331756728437
sin_PR,0.0482858114425566,0.00351005113096528,0.043757191888141,0.0544917914445334
ale_AUC,0.896566865655982,0.00392370112976282,0.89004458653067,0.902614220975709
ale_TSS,0.65904973823941,0.0101748059525101,0.640038184204199,0.676319405424068
cambio_decil,37.9991792585137,1.05855191332293,35.7280668048002,39.7205869447359
cor_vias_obs,-0.580341992358125,0.00493130723821471,-0.585836816561763,-0.569932563346264
cor_vias_neu,-0.0989126645507756,0.0154384601612735,-0.125807379964948,-0.0720098605245005
dif_neu_obs,-0.0511408757686361,0.00321343310006356,-0.0544797278901255,-0.0454406182588073
dif_sin_obs,-0.0287112023086774,0.00199130698793584,-0.0316649381193755,-0.0247816018908571
dif_ale_obs,0.0301876034051078,0.00415543941281168,0.0221700645570518,0.0358438990256404
difTSS_ale_obs,0.0600420449581062,0.0104488280209869,0.0408442961732277,0.0741567163486558
