rep,fold,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,geo_AUC,geo_TSS,geo_PR,geo_Boyce,geo_rhoVias,geotopo0_AUC,geotopo0_TSS,geotopo0_PR,geotopo0_Boyce,geotopo0_rhoVias,geotopo_AUC,geotopo_TSS,geotopo_PR,geotopo_Boyce,geotopo_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias,all_rand_AUC,all_rand_TSS,all_rand_PR,all_rand_Boyce,all_rand_rhoVias,desp_base,desp_geo,desp_geotopo0,desp_geotopo,desp_all_obs
1,1,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333,-0.325645841908604,0.767217194260118,0.454031036096753,0.065567497059202,0.8,-0.157502078686517,0.868130196692724,0.580625409731433,0.0690653705014924,0.984806980761705,-0.345670413853197,0.884570406734849,0.622017065021178,0.0704742140612975,0.975757575757576,-0.365760661022277,0.900228403863033,0.649125076897891,0.073194658706475,0.957334870310994,-0.614700370337166,0.867395438702014,0.635383991824483,0.0675623860480506,0.887542093772894,-0.0461461200978353,0.892110898645069,0.63805788687214,0.0800990970251656,0.956717261205505,-0.603019950889148,64.9373618275608,28.4303610906411,34.2372881355932,31.5696389093589,40.4274134119381
1,2,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333,-0.349747566414214,0.757496109405344,0.416073417735834,0.0255642847905427,0.721212121212121,-0.142493498660112,0.813144414098749,0.48825565023664,0.0264949602658361,0.806060606060606,-0.306808605433012,0.827812835538266,0.53514823212761,0.0311454493472149,0.802435317657685,-0.349214521280522,0.842975002811532,0.604092333847891,0.0273910967822163,0.670744176651015,-0.58454045279367,0.801918312904963,0.499471306353936,0.0435147143012964,0.903030303030303,-0.0823000826181272,0.893742951518363,0.632285143172139,0.0948550880571144,0.932944172978229,-0.595400050592981,60.7965451055662,63.4836852207294,31.573896353167,28.998720409469,35.5086372360845
1,3,0.784453407407227,0.460190260976525,0.0330354386440711,0.8,-0.328363973897483,0.748532909236245,0.431612832462694,0.0450822097405623,0.733333333333333,-0.0791039920810021,0.86620454570768,0.572174654888192,0.0581884471235177,0.930095481830499,-0.335939417354156,0.87741063412974,0.60191345265379,0.0764503794914737,0.878787878787879,-0.355948407513145,0.898896997943466,0.63647202501565,0.10137013042767,0.924016426393698,-0.622192332635533,0.866650136793734,0.571561109671539,0.0819676018769295,0.987878787878788,-0.285970127444774,0.886282192319385,0.638512715760119,0.0606038989667688,0.911858315520097,-0.593649736385383,49.8316991072735,55.1295185130982,33.8065271476658,28.7135957851603,37.6115908093078
1,4,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295,-0.387227896864604,0.805119912992569,0.517897206446071,0.0162341341224559,0.808514373094486,-0.066327364942809,0.865456532608556,0.615037627722721,0.0299538856667314,0.835381383647173,-0.191087183632773,0.882562296209878,0.650033546578463,0.0327497150285571,0.823186034980791,-0.2430133658737,0.910176258424037,0.695972273859737,0.035704112784735,0.910877033247062,-0.53199158277752,0.866360794519728,0.629055396725683,0.0378941675891478,0.826751539404888,-0.00539335803068551,0.923441875582006,0.714120606844021,0.0804212952060052,0.932944172978229,-0.583946962569053,59.4314820900427,61.6168255011502,36.42786723628,25.7311863292803,39.4019060138022
1,5,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242,-0.346109279774834,0.628199490767372,0.219757312539215,0.00328159750372628,0.783333333333333,-0.0652831145717081,0.708360609121821,0.347037740629543,0.00510011058536934,0.948332648140901,-0.173470151523639,0.718543698531675,0.353093509377253,0.00561915635757931,0.948332648140901,-0.211057700275151,0.777828372402049,0.394745813211776,0.00861412664425028,0.984806980761705,-0.545632337050053,0.678550301809771,0.325271661416304,0.00433879955042844,0.85106776115209,-0.148144316012582,0.894390116505292,0.664105072811108,0.0837037777374263,0.911858315520097,-0.661556815462277,60.4815864022663,29.0368271954674,34.985835694051,18.3191690273843,32.4677368586717
2,1,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333,-0.325645841908604,0.776517061054581,0.462294755654023,0.0472065850414905,0.766666666666667,-0.141342524138006,0.864042762799667,0.581823754722955,0.0620411864949048,0.924016426393698,-0.347560029587867,0.88506843100898,0.627616890202434,0.0677697785660179,0.915151515151515,-0.347751276826652,0.903717999479294,0.659237663342658,0.076354215458463,0.960490759014502,-0.659052925107181,0.852828183608723,0.594468905125492,0.0659807811591151,0.793939393939394,-0.0206013611470693,0.901221163574553,0.656249361823789,0.112464432336624,0.975627893310567,-0.615533530998649,65.0110537951363,27.1923360353721,32.2328666175387,31.864406779661,39.9115696389094
2,2,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333,-0.349747566414214,0.764715934757382,0.444784027231964,0.0267159384040041,0.854545454545454,-0.134036584860746,0.80565977071722,0.478656232270857,0.0280486026890962,0.9422535927041,-0.320717953438319,0.832168196831105,0.555820059447407,0.0290962604323935,0.966268204187762,-0.353849578641158,0.847046776350965,0.606690566258225,0.0319452052862412,0.796432870569884,-0.570291617233139,0.804379110098332,0.495493381434089,0.0405406359700262,0.910877033247062,-0.140269097100549,0.895282109424584,0.665559411548104,0.0887248316912652,0.924016426393698,-0.643073033722881,60.828534868842,59.8688419705694,29.0307101727447,25.0159948816379,34.4529750479846
2,3,0.784453407407227,0.460190260976525,0.0330354386440711,0.8,-0.328363973897483,0.735872324766198,0.423847922808665,0.0299108807528062,0.587878787878788,-0.0817499940487564,0.860350713598524,0.570203240725476,0.0644911924908554,0.975757575757576,-0.331086282133647,0.876933288870114,0.594473018283249,0.10525891044582,0.984806980761705,-0.368217974144697,0.905016738985783,0.64378426251356,0.101286368041009,0.936174537267299,-0.623561645093706,0.861349033835935,0.554632926547987,0.0964104299103794,0.987878787878788,-0.202871441886328,0.91493087110011,0.701103576508195,0.089538685997491,0.85282493560439,-0.642164585627681,54.6319332650373,59.2858188204303,34.0992243524074,33.8943363090882,39.1775208546758
2,4,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295,-0.387227896864604,0.816693696234664,0.542576377225933,0.0315383451234291,0.736408119705036,-0.0487895628537666,0.864035076473379,0.637019397187216,0.0546933577402766,0.741644763289679,-0.185545548277941,0.881817754473233,0.64900855971932,0.0573919098611404,0.806249265914629,-0.197879095800111,0.910813109233642,0.699063687217685,0.0448294970167087,0.984731927834662,-0.545524088308103,0.863015110917381,0.625030234655111,0.0469779982851289,0.828283210838796,0.00135584070875138,0.882744841515303,0.610809646430611,0.0612127905795471,0.948332648140901,-0.558103130131224,57.7390732829445,26.0105159382189,27.6536312849162,20.8018402891883,38.9254025632599
2,5,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242,-0.346109279774834,0.616387805710843,0.206683148129823,0.00305194560921293,0.76969696969697,-0.0605413907677432,0.70899592657394,0.336504574176915,0.00579099620735637,0.878787878787879,-0.19546129110296,0.718684517718751,0.382242809250353,0.0068605678538801,0.939393939393939,-0.207113372322791,0.781109622571956,0.439531208032892,0.0126695325941781,0.948332648140901,-0.537606987216152,0.689303532223671,0.31522674063933,0.00710001770311322,0.963636363636364,-0.0864990722106204,0.894850456184252,0.6530087135156,0.0906363101422345,0.890260452645892,-0.574526692081072,58.9864652187598,62.2442555870318,35.9301227573182,20.1920050361977,33.9313818067359
