celda,x,y,era,amb,uni,prospcorr_mesozoico,incert_mesozoico
91665,274617.175379054,837253.404362624,Cenozoico,Continental,Depósito aluvial,0.881806254386902,0.0426374097271419
149705,-573713.411404056,669292.426123291,Mesozoico,Marino,Grupo Copa Sombrero - Formación Huasimal - Miembro Venados,0.898490071296692,0.0431194461243165
156809,-285601.136647528,649297.07157099,Mesozoico,Marino,Formación Chonta - Miembro Inferior,0.922110736370087,0.0380509776127639
158896,-287601.916333337,643298.465205299,Mesozoico,Marino,Formación Chonta - Miembro Medio,0.904399633407593,0.029171964248762
160672,480697.483017404,639299.394294839,Cenozoico,Continental,Depósito aluvial,0.876140117645264,0.00406884089854352
161525,-597722.767633767,635300.323384378,Mesozoico,Marino,Grupo Copa Sombrero - Formación Jahuay Negro - Miembro Peña Blanca,0.883642196655273,0.0404923631982235
161528,-591720.428576339,635300.323384378,Mesozoico,Continental,Grupo Copa Sombrero - Formación Jahuay Negro - Miembro Chapangos,0.92022043466568,0.0556213853859343
164322,-571712.631718247,627302.181563458,Cenozoico,Continental,Depósito fluvial,0.892918050289154,0.0254728505682491
164987,-633736.801978333,625302.646108228,Mesozoico,Continental,Formación Gigantal,0.919600129127502,0.0658143747732139
164991,-625733.683235096,625302.646108228,Mesozoico,Marino,Grupo Copa Sombrero - Formación Jahuay Negro - Miembro Peña Blanca,0.885755062103272,0.0754510726074782
165161,-285601.136647528,625302.646108228,Mesozoico,Marino,Formación Chonta - Miembro Medio,0.902979671955109,0.0134175056263627
180466,-299606.594448193,581312.866093164,Mesozoico,Marino,Formación Chonta - Miembro Medio,0.935977160930634,0.0156257314856389
199220,-375636.222508943,527325.40880195,Mesozoico,Marino,Formación Chonta - Miembro Medio,0.884080827236176,0.0181187882954068
199936,-335620.628792759,525325.87334672,Mesozoico,Marino,Formación Chonta - Miembro Medio,0.932329535484314,0.00227203978940673
205513,-317613.611620476,509329.589704879,Mesozoico,Marino,Formación Condorsinga,0.875698924064636,0.00338135370301742
206204,-327617.510049522,507330.054249649,Mesozoico,Marino,Formación Condorsinga,0.965427696704865,0.00176696236937237
206900,-327617.510049522,505330.518794419,Mesozoico,Marino,Formación Condorsinga,0.942606508731842,0.00148431981027374
206903,-321615.170992094,505330.518794419,Mesozoico,Marino,Formación Condorsinga,0.882449567317963,0.00283649253841356
206904,-319614.391306285,505330.518794419,Mesozoico,Marino,Formación Condorsinga,0.884697496891022,0.00520824372034893
211775,-321615.170992094,491333.770607808,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.943239271640778,0.0360438464301794
212471,-321615.170992094,489334.235152578,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.8771852850914,0.00797247231625839
213165,-325616.730363713,487334.699697347,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.881819069385529,0.00776500519553355
213168,-319614.391306285,487334.699697347,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.939821720123291,0.0262777746134587
213761,-525694.698944635,485335.164242117,Mesozoico,Marino,Formación Sávila,0.898465812206268,0.0122428024017983
213861,-325616.730363713,485335.164242117,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.921888053417206,0.0415233974356756
213862,-323615.950677903,485335.164242117,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.923744797706604,0.00352937976039372
213864,-319614.391306285,485335.164242117,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.892198204994202,0.0183403656894568
213865,-317613.611620476,485335.164242117,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.936550080776215,0.0271611212945422
214457,-525694.698944635,483335.628786887,Mesozoico,Marino,Formación Sávila,0.87256520986557,0.0100912600735879
214459,-521693.139573017,483335.628786887,Mesozoico,Marino,Formación Sávila,0.953306138515472,0.0932794248651333
214558,-323615.950677903,483335.628786887,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.929324507713318,0.032618282386395
214560,-319614.391306285,483335.628786887,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.940465271472931,0.0422634394679797
214561,-317613.611620476,483335.628786887,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.933660507202148,0.0273313039691505
214562,-315612.831934667,483335.628786887,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.923487544059753,0.0266806034068948
215254,-323615.950677903,481336.093331657,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.901411950588226,0.0130504418661446
215255,-321615.170992094,481336.093331657,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.871934056282044,0.00703544733991783
215256,-319614.391306285,481336.093331657,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.937650561332703,0.00951626027241068
215257,-317613.611620476,481336.093331657,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.939973175525665,0.0127445425829759
215258,-315612.831934667,481336.093331657,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.933669626712799,0.00740328037920743
215848,-527695.478630444,479336.557876427,Mesozoico,Marino,Formación Sávila,0.874958872795105,0.0137674464003387
215950,-323615.950677903,479336.557876427,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.912687540054321,0.00735435966715264
215951,-321615.170992094,479336.557876427,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.921593129634857,0.0132305006197446
215953,-317613.611620476,479336.557876427,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.941817343235016,0.018585437911025
215954,-315612.831934667,479336.557876427,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.936109066009521,0.0026141063974543
215955,-313612.052248857,479336.557876427,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.934496700763702,0.0233177441362944
216647,-321615.170992094,477337.022421197,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.940668940544128,0.0343679345490069
216649,-317613.611620476,477337.022421197,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.906064093112946,0.0361750358649749
216650,-315612.831934667,477337.022421197,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.907572984695435,0.0163808804170722
216651,-313612.052248857,477337.022421197,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.91662985086441,0.00567933761006947
216654,-307609.71319143,477337.022421197,Mesozoico,Continental,Grupo Oriente - Formación Esperanza,0.875844717025757,0.0556230623543477
217344,-319614.391306285,475337.486965966,Mesozoico,Marino,Grupo Pucará - Formación Condorsinga,0.918803989887238,0.0887453303997681
217346,-315612.831934667,475337.486965966,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.927226841449738,0.0726269467855629
217347,-313612.052248857,475337.486965966,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.92805403470993,0.0513595411737523
217348,-311611.272563048,475337.486965966,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.92518162727356,0.0406492884604808
217355,-297605.814762384,475337.486965966,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.897705554962158,0.0177190832893041
218043,-313612.052248857,473337.951510736,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.914318680763245,0.0769514993186202
218044,-311611.272563048,473337.951510736,Mesozoico,Marino,Grupo Pucará - Formación Aramachay,0.874121487140656,0.0524221340116514
