celda,x,y,era,amb,uni,prospcorr_nacional,incert_nacional
139246,-611728.225434432,699285.457951743,Cenozoico,Transicional,Formación Zorritos,0.987056493759155,0.0173133793434776
139247,-609727.445748622,699285.457951743,Cenozoico,Transicional,Formación Zorritos,0.983052730560303,0.0090960987902906
139936,-623732.903549287,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.989390313625336,0.0058369271401274
139937,-621732.123863478,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.985698997974396,0.0125301447831972
139938,-619731.344177668,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.986242949962616,0.00999571059425844
139939,-617730.564491859,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.984159469604492,0.0109476978789127
139941,-613729.005120241,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.982735097408295,0.0130303749890659
140630,-627734.462920905,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.989318668842316,0.00866529786471523
140631,-625733.683235096,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.987769067287445,0.00555549901540926
140632,-623732.903549287,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.981970310211182,0.00479634638996128
140633,-621732.123863478,695286.387041283,Cenozoico,Marino,Formación Heath,0.976104497909546,0.0023182796087055
140634,-619731.344177668,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.980935335159302,0.0145304969821169
140640,-607726.666062813,695286.387041283,Cenozoico,Transicional,Formación Tumbes,0.941951334476471,0.0171716552990995
141324,-631736.022292524,693286.851586053,Cenozoico,Marino,Formación Heath,0.981240212917328,0.00846018295655167
141325,-629735.242606715,693286.851586053,Cenozoico,Transicional,Formación Zorritos,0.989139497280121,0.00322179807211042
141326,-627734.462920905,693286.851586053,Cenozoico,Transicional,Formación Zorritos,0.987209677696228,0.00270333724714102
141327,-625733.683235096,693286.851586053,Cenozoico,Transicional,Formación Zorritos,0.98852264881134,0.00928448464355852
142018,-635737.581664142,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.985169649124146,0.00170792711606427
142019,-633736.801978333,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.990196704864502,0.00272977945786927
142020,-631736.022292524,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.980075359344482,0.0107863850398873
142021,-629735.242606715,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.984105885028839,0.0106780395288146
142022,-627734.462920905,691287.316130823,Cenozoico,Marino,Formación Heath,0.968696355819702,0.00856899032188866
142712,-639739.141035761,689287.780675593,Cenozoico,Transicional,Formación Zorritos,0.988373100757599,0.0101435945159785
