design,rep,fold,model,AUC,TSS,PR_AUC,Boyce
National,9,3,Gradient boosting,0.902543859668534,0.644614665500946,0.0964096940424498,0.948332648140901
National,9,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,9,4,MaxEnt,0.87992846245561,0.598840826827007,0.0322017814561018,0.963262697049563
National,9,4,Random forest,0.898038166177357,0.663020559565476,0.0472250307653897,0.917031607796029
National,9,4,Gradient boosting,0.911727841096054,0.677033414101529,0.0508311128482103,0.919198937236662
National,9,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,9,5,MaxEnt,0.719074421037408,0.34977256885732,0.00462294873243656,0.948332648140901
National,9,5,Random forest,0.767515269910691,0.395401519542332,0.00731266233360008,0.866666666666667
National,9,5,Gradient boosting,0.775766309199788,0.410887008641622,0.0112733432384189,0.981725567643758
National,10,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,10,1,MaxEnt,0.875554367980476,0.605558284093442,0.0514115821695179,0.905779260083296
National,10,1,Random forest,0.894695686289782,0.628920602432317,0.0830836888981065,0.927272727272727
National,10,1,Gradient boosting,0.895098728597505,0.643672953362196,0.0702374389392648,0.859772080979937
National,10,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,10,2,MaxEnt,0.827134298238505,0.522420945692513,0.0153342918966163,0.871231229178585
National,10,2,Random forest,0.854948515982381,0.589660222447145,0.0220353261566055,0.903030303030303
National,10,2,Gradient boosting,0.843478408377674,0.582477151198844,0.0243556835178657,0.779199761307608
National,10,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,10,3,MaxEnt,0.880695771192334,0.604552626475841,0.0815684074240165,1
National,10,3,Random forest,0.892105071573022,0.610590566406681,0.104640052890377,0.996965091635306
National,10,3,Gradient boosting,0.902653616254537,0.624731610848288,0.101935440433309,0.905779260083296
National,10,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,10,4,MaxEnt,0.880342559710773,0.595910522514669,0.032011974125285,0.963262697049563
National,10,4,Random forest,0.897011576774657,0.66602650393371,0.0433593523419924,0.843176713208429
National,10,4,Gradient boosting,0.91535920479652,0.699015183566023,0.0581259647000691,0.966268204187762
National,10,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,10,5,MaxEnt,0.717421154847823,0.343553689082109,0.00452818855470244,0.927272727272727
National,10,5,Random forest,0.769020852657459,0.385254382521457,0.00786439207872927,0.903030303030303
National,10,5,Gradient boosting,0.782709062122466,0.439425457716728,0.0122830888207983,0.915151515151515
Mesozoic,1,1,Geological baseline,0.662705282664583,0.345839293350833,0.000799435648963167,0.661093652917021
Mesozoic,1,1,MaxEnt,0.807185446251702,0.528558437664361,0.0017841619055509,0.921223750591135
Mesozoic,1,1,Random forest,0.829894710453748,0.486433771302454,0.00563881523015086,0.952380952380953
Mesozoic,1,1,Gradient boosting,0.854671670623627,0.628277763850589,0.0106243906249288,0.816012348455999
