era,celdas,presencias,Wmas,Wmenos,contraste,s_contraste,C_estudentizado
Cenozoico,200727,545,0.228569096061823,-0.539397850299026,0.767966946360848,0.09120773536828,8.42
Mesozoico,47922,91,-0.125249704727738,0.0219428696416125,-0.14719257436935,0.112235894932309,-1.31
Paleozoico_o_mas,25332,41,-0.278679202405653,0.022009992433256,-0.30068919483891,0.160180814504883,-1.88
Sin dato,49103,22,-1.5538711312508,0.133918735794477,-1.68778986704528,0.21434666408085,-7.87
