lado_km,bloques,AUC_base,AUC_gbm,AUC_gbm_sd,AUC_neu,dif_gbm_base,dif_neu_obs,optimismo_aleatorio,TSS,PR_AUC,cambio_decil
50,603,0.752520829038861,0.868763169096691,0.00617074357106089,0.819416983039353,0.11624234005783,-0.0493461860573383,0.0289623534136021,0.600231121268032,0.0540691477645383,37.6285488989896
100,172,0.749875001932692,0.859239789741187,0.00688388353780143,0.808628402551968,0.109364787808495,-0.0506113871892189,0.0384857327691062,0.585641784245661,0.0538239046401965,38.3102173839619
150,88,0.721619077639458,0.838681458112598,0.0189595310313051,0.776449844601464,0.11706238047314,-0.0622316135111349,0.0590440643976946,0.54981417776479,0.042048674666456,39.537500785051
200,56,0.712281254369505,0.83434986675774,0.00750338670467149,0.75677581094797,0.122068612388235,-0.077574055809769,0.0633756557525536,0.54383517914651,0.0317827814315818,39.6570023790996
