design,model,AUC,AUC_sd_rep,TSS,PR_AUC,Boyce,AUC_sd_fold
Mesozoic,Gradient boosting,0.826963980586655,0.00964240593676691,0.587502187376798,0.00780325177282198,0.728481284823733,0.044306459757167
Mesozoic,MaxEnt,0.823072950065942,0.00267068420783932,0.585388041815553,0.00231971507507269,0.834240238719065,0.0460780130889873
Mesozoic,Random forest,0.820224843691934,0.00813380134737871,0.559731601016195,0.00590061389557251,0.763236406450031,0.0248888214151981
Mesozoic,Geological baseline,0.736111966355178,0,0.436024352977209,0.00125138639308368,0.759755668458351,0.0686317624928836
National,Gradient boosting,0.866084143235165,0.0017801658596788,0.594558815206331,0.0536293117579623,0.907554918383933,0.0566666837149869
National,Random forest,0.8621983783208,0.00141354130027491,0.580121279492781,0.0511342508945397,0.918520490888826,0.054260706538136
National,MaxEnt,0.836453727703694,0.000498969996674649,0.535503455880503,0.0379900728635193,0.934671803803433,0.0692249361081501
National,Geological baseline,0.759028334347413,0,0.430534223185347,0.0183893953177406,0.865920211744441,0.0614216111192363
