rep,fold,prevalencia,brier_ref,brier_raw,brier_platt,media_raw,media_platt,max_platt,bss_raw,bss_platt
1,1,0.00302168241380835,0.00301383595128425,0.0517305658890886,0.00293512108115405,0.108932456508546,0.0022547622078968,0.688427283690527,-16.1643602124546,0.0261178350124395
1,2,0.00163147792706334,0.00162919290236782,0.07340871836668,0.00167492861955029,0.149079934702919,0.00215449466906484,0.414576200294794,-44.0583342586321,-0.0280726224107652
1,3,0.00291250768375143,0.00290498774105552,0.0601006476539695,0.0029178422275913,0.126402348247941,0.00293164973906809,0.702347440934335,-19.6887784084528,-0.00442497100903738
1,4,0.00126526118605912,0.00126477008749515,0.0448206586294209,0.00125509342088174,0.101514491895091,0.00122717984405445,0.466093314408823,-34.4377914789139,0.00765092937371792
1,5,0.00182567912115584,0.00182248050687974,0.0418501429030295,0.00183302636917726,0.0949598737968369,0.00097409831106039,0.3686771720083,-21.9632869844412,-0.00578654326216599
2,1,0.00302168241380835,0.00301383595128425,0.051817653640006,0.00298324360963207,0.111190892158825,0.00207896231614544,0.795092530843017,-16.1932561949583,0.0101506326643767
2,2,0.00163147792706334,0.00162919290236782,0.0691191229342679,0.00167497354885995,0.142362429135201,0.00202816534691833,0.511872802127022,-41.4253769052224,-0.0281002000595492
2,3,0.00291250768375143,0.00290498774105552,0.0590626644448615,0.0029234303861913,0.127872271649366,0.00259705920231473,0.801686516006537,-19.3314677064356,-0.00634861375665685
2,4,0.00126526118605912,0.00126477008749515,0.050199090383742,0.00134978565598033,0.10793989107455,0.00173777331107831,0.551767550867521,-38.6902890731391,-0.067218199833893
2,5,0.00182567912115584,0.00182248050687974,0.0391906334582091,0.00184701096239232,0.0917064302872667,0.000964404176960634,0.509887704373278,-20.5040069346514,-0.0134599275108702
3,1,0.00302168241380835,0.00301383595128425,0.0513600004404513,0.00293616742865785,0.108997083530299,0.00216300428129974,0.732409367617462,-16.0414054615567,0.0257706537057215
3,2,0.00163147792706334,0.00162919290236782,0.0711768649739386,0.0016530878566158,0.144272544261269,0.00205288441733764,0.441973109316164,-42.6884207330467,-0.0146667433999117
3,3,0.00291250768375143,0.00290498774105552,0.0584682977148183,0.0028649998027781,0.127797469381057,0.00229995685460662,0.687503248788748,-19.1268655590175,0.0137652691996885
3,4,0.00126526118605912,0.00126477008749515,0.0508908231674431,0.00128073948470764,0.107264315227257,0.00149571964973375,0.542010262517763,-39.2372128109316,-0.0126263242389906
3,5,0.00182567912115584,0.00182248050687974,0.0405099720354434,0.00184334167049932,0.0939322143987942,0.000948043363101423,0.474264867856194,-21.2279315924208,-0.0114465770914007
4,1,0.00302168241380835,0.00301383595128425,0.0521941007931465,0.00292323676264607,0.110224389612381,0.00213460162046046,0.761756580878026,-16.318162513426,0.0300610882949915
4,2,0.00163147792706334,0.00162919290236782,0.0703294312324753,0.0016714937204792,0.146266029341978,0.00202355978770411,0.509264744787513,-42.1682651761254,-0.0259642784165757
4,3,0.00291250768375143,0.00290498774105552,0.0605772620565247,0.00298997996118517,0.125879515870696,0.00284827730538149,0.766008050017423,-19.8528460207939,-0.0292573420976865
4,4,0.00126526118605912,0.00126477008749515,0.0487783086803965,0.00126177776580722,0.10391739094703,0.00138865393378783,0.71387258828454,-37.566937313485,0.00236590169036877
4,5,0.00182567912115584,0.00182248050687974,0.0441786783781661,0.00183374669272293,0.0987660091025141,0.000971177417844456,0.296371814990349,-23.2409607188634,-0.00618178674649927
5,1,0.00302168241380835,0.00301383595128425,0.0524774986665796,0.00295020635354115,0.109035197221014,0.0022349855551615,0.603622456588853,-16.4121947958773,0.0211124954282886
5,2,0.00163147792706334,0.00162919290236782,0.072273170437362,0.00166217679966196,0.147171077064797,0.0020117574175236,0.423366917905388,-43.3613339662372,-0.020245544432584
5,3,0.00291250768375143,0.00290498774105552,0.0599269245937553,0.0029697172485143,0.128092267512393,0.00284007301072584,0.807850069545027,-19.6289767584289,-0.0222821964251267
5,4,0.00126526118605912,0.00126477008749515,0.0502320656607445,0.00126604796702365,0.105876219567963,0.00140552025655705,0.517123375429268,-38.716361224377,-0.00101036507830776
5,5,0.00182567912115584,0.00182248050687974,0.040226534017451,0.00183009918365842,0.0927934445156949,0.000921235838237382,0.370101339438439,-21.07240838275,-0.00418038862414072
