conjunto,celdas,pct_100k,razon_100k,pct_sin_edad,pct_sin_ambiente
Territory,323084,41.1445037578359,1,15.1982147057731,35.1691820083941
Presence cells,699,10.458452722063,0.25418833056338,3.14735336194564,17.1673819742489
"Top decile, neutralised national",32309,18.3772731497258,0.446651957643939,0.962580086044136,8.73131325636819
"Top 1 %, neutralised national",3231,1.7951098731043,0.0436293966180702,0.371402042711235,3.99257195914578
Single-projection priority set (national),808,1.48514851485149,0.036095915109163,0.495049504950495,1.11386138613861
Robust priority set (national),1991,2.05926670015068,0.0500496181038152,0.502260170768458,2.00904068307383
Mesozoic priority set,808,2.72277227722772,0.0661758443667989,0,3.09405940594059
