indicador,media,sd_entre_rep
base_AUC,0.759028334347413,0
base_TSS,0.430534223185347,0
base_PR,0.0183893953177406,0
base_Boyce,0.865920211744441,0
base_rhoVias,-0.347418911771948,0
geo_AUC,0.739467607910081,0.00305881169979723
geo_TSS,0.410163640168209,0.00684465882533121
geo_PR,0.0264342381009118,0.00279498985877238
geo_Boyce,0.758062344863104,0.0335242471756603
geo_rhoVias,-0.100484070420786,0.00426047066306684
geotopo0_AUC,0.822097531131752,0.00203197871645959
geotopo0_TSS,0.521267293639298,0.00404834323609703
geotopo0_PR,0.0396076483376778,0.00186002887363086
geotopo0_Boyce,0.895108030765524,0.0137797768983313
geotopo0_rhoVias,-0.276543470769902,0.00773309450011594
geotopo_AUC,0.837562337844549,0.00179131838506845
geotopo_TSS,0.554438223975377,0.00395559373431857
geotopo_PR,0.0488117389064815,0.00477398961918763
geotopo_Boyce,0.893011255375653,0.0261007832855638
geotopo_rhoVias,-0.299960129469591,0.00495896188084715
all_obs_AUC,0.867096799289998,0.00182863755852068
all_obs_TSS,0.602221667000629,0.00544881820041229
all_obs_PR,0.0522460835209067,0.00338885971768445
all_obs_Boyce,0.892462838068819,0.0139206025560702
all_obs_rhoVias,-0.581025349815257,0.00536363270340419
all_neu_AUC,0.815253668835727,0.003770977314773
all_neu_TSS,0.528584509594562,0.00840811836883485
all_neu_PR,0.0486100427047225,0.00268835004634831
all_neu_Boyce,0.859784286950231,0.0284952207783132
all_neu_rhoVias,-0.100340791993427,0.0259063482384912
all_rand_AUC,0.896617231139344,0.0030903588679432
all_rand_TSS,0.657283172066611,0.00694681081425238
all_rand_PR,0.0843820952410104,0.00320894931498249
all_rand_Boyce,0.913498104444426,0.0178182250001962
all_rand_rhoVias,-0.602890770269087,0.00510159675079795
desp_base,59.757360554705,0.650837406466742
desp_geo,51.396530367065,4.0982421630577
desp_geotopo0,33.9992086768147,1.15177361530365
desp_geotopo,26.8970694315379,1.17943982567044
desp_all_obs,37.8384902283136,1.1206886900996
