modelo,AUC,AUC_sd,TSS,Boyce
M0: solo era,0.581904467647674,0.0645537699212575,0.148607415185402,0.625
M1: era + ambiente,0.65096213340842,0.0435014642887417,0.238633597909359,0.79
M2: era + ambiente + WoE unidad,0.765683000270082,0.064542731894697,0.435679776337457,0.844042070855558
