amb,celdas,presencias,Wmas,Wmenos,contraste,s_contraste,C_estudentizado
Marino,30517,169,0.946201575191815,-0.176966519364336,1.12316809455615,0.0884369488835053,12.7
Transicional,9017,50,0.954462147118715,-0.0452407808009812,0.999702927919697,0.146479795539942,6.82
Continental,169924,360,-0.019645687423702,0.024299114620024,-0.043944802043726,0.0757091424261891,-0.58
Sin dato,113626,120,-0.714114609811722,0.246503873372382,-0.960618483184104,0.100189711264925,-9.59
