rep,scenario,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,geotopo_AUC,geotopo_TSS,geotopo_PR,geotopo_Boyce,geotopo_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias,desp_obs_neu
1,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.509344665046163,0.0125911661849187,0.0133403667000569,-0.0364743326208039,-0.328645724417689,0.560850953737562,0.0796350125064969,0.016303142233187,0.478787878787879,-0.576579180524161,0.550302083029236,0.0882492008846367,0.0153096116924864,0.587878787878788,-0.227285841653487,46.3596342702337
1,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.569989803277388,0.106553475242058,0.00162298951324162,0.818181818181818,-0.0386797403898631,0.587865201017852,0.132272236886514,0.001719401796888,0.741644763289679,-0.161861245473722,0.597282639266877,0.201362145252574,0.00209209773641008,0.636363636363636,-0.0507751140338299,45.2506498329001
1,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.685695962091495,0.30543828697711,0.00209851778292356,0.757575757575757,-0.261738990826087,0.790290709262265,0.473557021549675,0.00313685885368943,0.939393939393939,-0.521250311185936,0.666554061453481,0.299122100956474,0.00204391056983737,0.76969696969697,-0.246465600840453,32.9474677571563
1,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.687103794645922,0.296017081440446,0.00192953268060166,0.987878787878788,-0.398452641838261,0.723904640295956,0.36480607547603,0.00214399329239025,0.975757575757576,-0.71837461903937,0.675259463614538,0.284459572898993,0.00183227735279834,0.939393939393939,-0.315559287896083,48.3240223463687
2,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.509556295672984,0.00954546586946758,0.0162618897509194,-0.145897330483216,-0.322615331876008,0.594301734078412,0.126663584096506,0.0201700468093259,0.757575757575757,-0.571520314263256,0.606742952430452,0.160579018655428,0.0180776668326255,0.948332648140901,-0.288866927624537,55.3191489361702
2,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.580122593154019,0.164134393844509,0.00164914566745753,0.76969696969697,-0.148844608829421,0.567859274335408,0.13059458175554,0.00159648965718499,0.790277206784084,-0.0850001496031929,0.628595698160103,0.22500648675434,0.00213683181486339,0.927272727272727,-0.122741559114667,56.951871657754
2,Test Selva,115,0.541803720325118,0.0908802097364496,0.000855966950140392,0.642857142857143,-0.188436386639727,0.697826826159234,0.342982392738949,0.00310076297179691,0.709090909090909,-0.268014861160492,0.790222675234848,0.451107982732225,0.00323369708232417,0.903030303030303,-0.505076287181491,0.690608840207371,0.313924607894028,0.00243496122156993,0.636363636363636,-0.265759491432409,33.6877870760712
2,"Train Costa only, test Sierra + Selva",298,0.582957845384375,0.157617194258474,0.00127444266561109,0.857142857142857,-0.255637399474999,0.682762860330658,0.296910544567607,0.00190691458580933,0.963636363636364,-0.397388984367281,0.720836530484944,0.351638891497875,0.00231796920555922,0.987878787878788,-0.725675391014433,0.646019938737357,0.214983340025153,0.0017384074389406,0.878787878787879,-0.276543232806811,54.8371712767407
3,Test Costa,401,0.616724178773431,0.297755816439197,0.0175187313654446,0.566666666666667,-0.201567182775091,0.495728862470827,0.000980589482043381,0.0126911164510859,-0.212121212121212,-0.32309468965717,0.57138715400383,0.0832379554392539,0.0160825685612867,0.454545454545455,-0.567139987296983,0.577889231057411,0.124160144456737,0.0158423077789665,0.648484848484848,-0.265655157086334,54.148323738571
3,Test Sierra,183,0.597388353853587,0.237053194311946,0.0019854020521693,0.6,-0.0934247923043779,0.559906984982595,0.097531399792814,0.0016158371870583,0.808514373094486,-0.0650616062710054,0.631469399427345,0.236633384251916,0.00214973453114015,0.865869755313128,-0.330154776460733,0.632623054054986,0.223341268633568,0.00204178479290062,0.826751539404888,-0.165484154863765,34.5662507427213
